Date,HStarts
Jan-11,40.2
Feb-11,35.4
Mar-11,49.9
Apr-11,49.0
May-11,54.0
Jun-11,60.5
Jul-11,57.6
Aug-11,54.5
Sep-11,58.8
Oct-11,53.2
Nov-11,53.0
Dec-11,42.7
Jan-12,47.2
Feb-12,49.7
Mar-12,58.0
Apr-12,66.8
May-12,67.8
Jun-12,74.7
Jul-12,69.2
Aug-12,69.0
Sep-12,75.8
Oct-12,77.0
Nov-12,62.2
Dec-12,63.2
Jan-13,58.7
Feb-13,66.1
Mar-13,83.3
Apr-13,76.3
May-13,87.2
Jun-13,80.7
Jul-13,84.0
Aug-13,80.4
Sep-13,78.4
Oct-13,78.4
Nov-13,83.8
Dec-13,67.6
Jan-14,60.7
Feb-14,65.1
Mar-14,80.2
Apr-14,94.9
May-14,92.5
Jun-14,87.3
Jul-14,101.0
Aug-14,86.2
Sep-14,94.2
Oct-14,92.0
Nov-14,75.8
Dec-14,73.4
Jan-15,73.0
Feb-15,61.9
Mar-15,79.7
Apr-15,108.5
May-15,99.6
Jun-15,112.3
Jul-15,107.2
Aug-15,99.2
Sep-15,111.6
Oct-15,90.9
Nov-15,89.9
Dec-15,78.1
Jan-16,74.3
Feb-16,84.1
Mar-16,90.7
Apr-16,106.2
May-16,105.0
Jun-16,111.6
Jul-16,115.2
Aug-16,102.8
Sep-16,95.0
Oct-16,114.5
Nov-16,87.8
Dec-16,86.5
Jan-17,82.3
Feb-17,87.8
Mar-17,97.1
Apr-17,105.2
May-17,106.0
Jun-17,116.3
Jul-17,112.3
Aug-17,102.6
Sep-17,104.4
Oct-17,109.6
Nov-17,97.9
Dec-17,81.4
Jan-18,91.6
Feb-18,89.7
Mar-18,107.2
Apr-18,117.5
May-18,123.7
Jun-18,112.0
Jul-18,111.9
Aug-18,113.8
Sep-18,109.7
Oct-18,106.1
Nov-18,95.9
